Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism
C3,protein,enzyme,,UniProt,Q9Y5T4,plasma membrane,GO:0005886,PLC ?,enzyme,,,UniProt,,cytoplasm,GO:0005634,positive,direct,activation,,FFA2-HEK293,epithelial-like,kidney,human
Epidermal growth factor (EGF),small molecule,,,PubChem,1613492,extracellular,GO:0005615,ERK1/2,protein,,MAPK1,UniProt,P28482,cytoplasm,GO:0005829,positive,direct,phosphorylation,,HEK293,epithelial-like,kidney,human
FR,other,,,,,cytoplasm,GO:0005737,G proteins,protein,,,UniProt,,plasma membrane,GO:0005886,positive,indirect,internalization,,HEK293,epithelial-like,,human
Gq,protein,G-protein alpha subunit,GNAQ,UniProt,P25021,plasma membrane,GO:0005886,G?2,protein,G-protein gamma subunit,GNAT2,UniProt,P62858,plasma membrane,GO:0005886,positive,direct,activation,,HEK293,epithelial-like,kidney,human
LAT,protein,,,,LAT,plasma membrane,GO:0005886,PDAC,cell,,,,PDAC,,,positive,direct,phosphorylation,,,epithelial,pancreas,human
FRS?,protein,,FRS2,UniProt,Q14289,cytoplasm,GO:0005737,SHP2,protein,,PTPN11,UniProt,Q06124,cytoplasm,GO:0005737,positive,direct,phosphorylation,,,melanoma,skin,human
SCH772984 ERKi,protein,inhibitor,,UniProt,,cytoplasm,GO:0005737,LAT,protein,,LAT,UniProt,Q13509,cytoplasm,GO:0005737,positive,direct,phosphorylation,,Pa16C,epithelial-like,pancreas,human
SCH772984,small molecule,ERKi,,UniProt,SCH772984,cytoplasm,GO:0005829,Pa16C,cell,,,,Pa16C,cytoplasm,GO:0005829,negative,indirect,inhibition,,"MIA PaCA-2, Pa02C, Pa14C, Pa16C",epithelial-like,pancreas,human
LY3009120,small molecule,inhibitor,,PubChem,1198134,cytoplasm,GO:0005737,Colorectal organoids,cell,,,,,,,negative,direct,inhibition,,CRC,epithelial-like,colon,human
p85,protein,regulatory subunit,PIK3R1,UniProt,Q08191,plasma membrane,GO:0005886,"PtdIns(3,4,5)P3",lipid,second messenger,,,,plasma membrane,GO:0005886,positive,direct,association,phosphorylated tyrosine residues,,epithelial-like,,human
mTOR,protein,kinase,MTOR,UniProt,Q9Y4H2,cytoplasm,GO:0005737,Apaf-1,protein,,APAF1,UniProt,O14727,mitochondria,GO:0005739,negative,direct,phosphorylation,,,epithelial-like,,human
mTOR,protein,,MTOR,UniProt,Q9Y473,cytoplasm,GO:0005737,eIF4E,protein,,EIF4E,UniProt,P68371,cytoplasm,GO:0005737,positive,direct,phosphorylation,T70,,epithelial-like,,human
scClassical,other,,,fplx,scClassical,,,IC,other,,,fplx,IC,,,positive,indirect,transition,,,cancer cell,,human
GATA6,protein,,GATA6,UniProt,Q9NRL7,nucleus,GO:0005634,scClassical,cell state,,,fplx,scClassical,,GO:0005623,positive,indirect,amplification,,PDAC cells,epithelial-like,pancreas,human
cell-cell interactions,biological process,,,,,,,surface glycoproteins,other,,,,,,,positive,indirect,adhesion,,,epithelial-like,,human
classical,cell state,,,,,,,PDAC,disease,,,,,,,positive,indirect,regulation,,,epithelial,pancreas,human
Geometry,other,,,,,,GO:0000004,Morphological phenotypes,other,,,,,tissue,GO:0007275,positive,indirect,regulation,,,,,
two unknown general regulatory products,protein,,,,,,,,protein,,,,,,,positive,indirect,regulation,,,planarian,,planarian
Notch,signaling pathway,,,KEGG,Notch,cytoplasm,GO:0005737,planarian stem cells,cell,,,,,stem cell niche,GO:0061447,positive,indirect,regulation,,planarian stem cells,stem cell,head-trunk-tail,planarian
Frizzled,protein,,,UniProt,,plasma membrane,GO:0005886,?-catenin,protein,,CTNNB1,UniProt,P35222,cytoplasm,GO:0005829,positive,direct,interaction,,,,,Homo sapiens
Notch,,,,UniProt,,,,Wnt,protein,,,UniProt,P0DJI9,plasma membrane,GO:0005886,negative,direct,inhibition,,,epithelial,planarian,planaria
Akt,protein,serine/threonine kinase,AKT1,UniProt,P31749,cytoplasm,GO:0005737,Human Mammary Epithelial Cells,cell,epithelial,,fplx,HMEC,cytoplasm,GO:0005737,positive,direct,phosphorylation,,,epithelial,breast,human
TGF-alpha,protein,,TGF-alpha,UniProt,P01133,plasma membrane,GO:0005886,EGFR,protein,,EGFR,UniProt,P00533,plasma membrane,GO:0005886,positive,direct,activation,plasma membrane,,epithelial,,human
VEGFR1,protein,receptor,KDR,UniProt,P17948,plasma membrane,GO:0005886,GBSCs,cell,,,fplx,GBSCs,plasma membrane,GO:0005886,negative,direct,signaling,,,stem cell,,human
Negative transcriptional regulators,protein,transcription factor,,UniProt,,nucleus,GO:0005634,Signaling output,signaling pathway,,,,,cell membrane,GO:0005886,negative,indirect,transcriptional regulation,promoter region,,epithelial,,mammalian
T,protein,,,UniProt,,cytoplasm,GO:0005737,Y2,protein,,,UniProt,,cytoplasm,GO:0005737,negative,direct,degradation,,,epithelial,,human
SNCA,protein,,SNCA,UniProt,P11243,cytoplasm,GO:0005737,M5,module,,,"KEGG, WikiPathways",M5,,,positive,indirect,pathway enrichment,,,,,human
PSP,database,,,PSP,,cytoplasm,GO:0005829,Phosphosite,protein,,,PSP,,cytoplasm,GO:0005829,positive,indirect,regulation,phosphosite,,,,
Gradient Boosting Machine,algorithm,,,scikit-learn,GradientBoostingClassifier,software,GO:0010311,ST,other,,,,,,,positive,indirect,prediction,,,epithelial-like,,human
None,model,in vitro,None,,None,lab,,None,model,in vitro,None,,None,lab,,positive,indirect,prediction,,,,,
drug,drug,,,,,cell,,potency,other,,,,,cell,,positive,indirect,combination,,,,,human
glycerol,chemical,,,,glycerol,cytoplasm,GO:0005737,M. tuberculosis Erdman,bacteria,,,UniProt,M tuberculosis,cytoplasm,GO:0005737,positive,direct,maintain,,,epithelial-like,lung,human
Bedaquiline,small molecule,antibiotic,,PubChem,,extracellular,GO:0005615,M. tuberculosis,other,bacterium,,UniProt,,extracellular,GO:0005615,negative,direct,inhibition,,,macrophage,lung,human
ROS,protein,,,UniProt,,cytoplasm,GO:0005737,BRAF,protein,,,UniProt,,cytoplasm,GO:0005737,positive,direct,phosphorylation,,,melanoma,skin,human
EGF,protein,,EGF,UniProt,P01133,extracellular,GO:0005576,RAS-GTP,protein,active,,UniProt,P01112,cytoplasm,GO:0005829,positive,direct,phosphorylation,,,epithelial-like,,human
Activation,biochemical process,,,,,cytoplasm,GO:0005829,Phosphorylated substrate,protein,,,UniProt,,cytoplasm,GO:0005829,positive,direct,phosphorylation,target site,,epithelial,,human
modification,,,,,,,,object,,,,,,,,positive,direct,modification,,,,,
boolean2 package,software,,,,,,,INDRA Statements,statements,,,,,,,positive,indirect,assembly,,,epithelial-like,,human
Taselisib,protein,,,UniProt,Q8NZA8,cytoplasm,GO:0005829,TCR,other,,,fplx,TCR,plasma membrane,GO:0005886,positive,direct,inhibition,,HEK 293T,epithelial-like,,human
cytochrome c,protein,,MT-CYB,UniProt,P00156,mitochondria,GO:0005739,caspase-9,protein,caspase,CASP9,UniProt,Q92886,cytoplasm,GO:0005829,positive,direct,activation,,,epithelial-like,,human
STAT3,protein,transcription factor,STAT3,UniProt,P40763,nucleus,GO:0005634,PTPRC,protein,,PTPRC,UniProt,P06241,cytoplasm,GO:0005737,positive,indirect,regulation,,glioblastoma,epithelial-like,brain,human
MITF,protein,transcription factor,MITF,UniProt,Q02763,nucleus,GO:0005634,RXRA,protein,transcription factor,RXRA,UniProt,P19793,nucleus,GO:0005634,positive,indirect,transcriptional regulation,,,hematopoietic cells,bone marrow,human
SOX10,protein,,SOX10,UniProt,Q9P2S3,nucleus,GO:0005634,myeloid and microglia marker genes,gene,,,,,cytoplasm,GO:0005737,negative,indirect,regulation of gene expression,,,neural crest,,mouse
GFP,protein,,GFP,UniProt,P42212,cytoplasm,GO:0005737,tumour cells,cell,,,,,,,positive,direct,expression,,,,brain,mouse
MethylSeekR,software,,,,MethylSeekR,,,DMVs,genomic feature,,,,DMVs,chromosome,GO:0005698,positive,direct,detection,,,,,human
calcium,ion,,,,,cytosol,GO:0005829,ERKKTR,protein,,,,,cytosol,GO:0005829,positive,direct,activation,,HeLa,epithelial,cervix,human
EKAR,protein,,,UniProt,Q15746,cytoplasm,GO:0005737,NFAT,protein,,NFATC1,UniProt,Q16520,nucleus,GO:0005634,positive,indirect,translocation,,HEK 293T,epithelial-like,kidney,human
Gateway LR Clonase ll Enzyme Mix,enzyme,,,UniProt,,cytoplasm,GO:0005737,pLex307,vector,,,Addgene,41392,cytoplasm,GO:0005737,positive,direct,recombination,,,,,
PicchuEV,protein,,,UniProt,,plasma membrane,GO:0005886,biosensor,protein,,,UniProt,,plasma membrane,GO:0005886,positive,indirect,stimulus-dependent,,,,,
PIK3CA,protein,oncogene,PIK3CA,UniProt,P42336,membrane,GO:0005886,RB1,gene,tumor suppressor,RB1,UniProt,P06400,nucleus,GO:0005634,positive,indirect,methylation,,,cancer,,human
RB1,protein,,RB1,UniProt,P06400,nucleus,GO:0005634,RACSs,,,,,,,,positive,direct,amplification,,,cancer cell,,human
